Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	degree_cost	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1	MCC	BM	MK	P@10min	P@10max	AUC	degree_TPR	degree_TNR	degree_PPV	degree_NPV	degree_FNR	degree_FPR	degree_FDR	degree_FOR	degree_ACC	degree_F1	degree_MCC	degree_BM	degree_MK	degree_P@10min	degree_P@10max	degree_AUC
batch	17	0.022413456812500954	0.022413454949855804	0.0	1.0	0.0	0.6274584715975366	1.0	0.0	0.0	0.37254152840246346	0.6274584715975366	0.0	0.0	0.0	-0.37254152840246346	0.36195555497456317	0.0	0.5	0.0	1.0	0.0	0.6274584715975366	1.0	0.0	0.0	0.37254152840246346	0.6274584715975366	0.0	0.0	0.0	-0.37254152840246346	0.36195555497456317	0.0	0.5
batch	18	0.019322598353028297	0.019322596490383148	0.0	1.0	0.0	0.6333577050376383	1.0	0.0	0.0	0.36664229496236167	0.6333577050376383	0.0	0.0	0.0	-0.3666422949623618	0.3855735555414187	0.0	0.5	0.0	1.0	0.0	0.6333577050376383	1.0	0.0	0.0	0.36664229496236167	0.6333577050376383	0.0	0.0	0.0	-0.3666422949623618	0.3855735555414187	0.0	0.5
batch	19	0.034726712852716446	0.03472670912742615	0.0	1.0	0.0	0.6062981970721837	1.0	0.0	0.0	0.3937018029278165	0.6062981970721837	0.0	0.0	0.0	-0.3937018029278164	0.28771124686456895	0.0	0.5	0.0	1.0	0.0	0.6062981970721837	1.0	0.0	0.0	0.3937018029278165	0.6062981970721837	0.0	0.0	0.0	-0.3937018029278164	0.28771124686456895	0.0	0.5
batch	20	0.020946340635418892	0.020946338772773743	0.0	1.0	0.0	0.6278563544395386	1.0	0.0	0.0	0.3721436455604612	0.6278563544395386	0.0	0.0	0.0	-0.3721436455604612	0.3429072768831745	0.0	0.5	0.0	1.0	0.0	0.6278563544395386	1.0	0.0	0.0	0.3721436455604612	0.6278563544395386	0.0	0.0	0.0	-0.3721436455604612	0.3429072768831745	0.0	0.5
batch	21	0.014932909980416298	0.014932907186448574	0.0	1.0	0.0	0.6396420349122304	1.0	0.0	0.0	0.3603579650877694	0.6396420349122304	0.0	0.0	0.0	-0.3603579650877694	0.36461076683709	0.0	0.5	0.0	1.0	0.0	0.6396420349122304	1.0	0.0	0.0	0.3603579650877694	0.6396420349122304	0.0	0.0	0.0	-0.3603579650877694	0.36461076683709	0.0	0.5
batch	22	0.032201316207647324	0.032201312482357025	0.0	1.0	0.0	0.6122329344426497	1.0	0.0	0.0	0.38776706555735013	0.6122329344426497	0.0	0.0	0.0	-0.38776706555735013	0.33018990036149304	0.0	0.5	0.0	1.0	0.0	0.6122329344426497	1.0	0.0	0.0	0.38776706555735013	0.6122329344426497	0.0	0.0	0.0	-0.38776706555735013	0.33018990036149304	0.0	0.5
batch	23	0.021811434999108315	0.021811433136463165	0.0	1.0	0.0	0.6252622317019152	1.0	0.0	0.0	0.37473776829808497	0.6252622317019152	0.0	0.0	0.0	-0.37473776829808497	0.3225049306842536	0.0	0.5	0.0	1.0	0.0	0.6252622317019152	1.0	0.0	0.0	0.37473776829808497	0.6252622317019152	0.0	0.0	0.0	-0.37473776829808497	0.3225049306842536	0.0	0.5
batch	24	0.022929005324840546	0.022929003462195396	0.0	1.0	0.0	0.6264944179192762	1.0	0.0	0.0	0.3735055820807239	0.6264944179192762	0.0	0.0	0.0	-0.3735055820807239	0.3612387941070416	0.0	0.5	0.0	1.0	0.0	0.6264944179192762	1.0	0.0	0.0	0.3735055820807239	0.6264944179192762	0.0	0.0	0.0	-0.3735055820807239	0.3612387941070416	0.0	0.5
batch	25	0.021132027730345726	0.021132025867700577	0.0	1.0	0.0	0.6260352404171167	1.0	0.0	0.0	0.3739647595828834	0.6260352404171167	0.0	0.0	0.0	-0.3739647595828834	0.3635286892625425	0.0	0.5	0.0	1.0	0.0	0.6260352404171167	1.0	0.0	0.0	0.3739647595828834	0.6260352404171167	0.0	0.0	0.0	-0.3739647595828834	0.3635286892625425	0.0	0.5
batch	26	0.014430012553930283	0.014430009759962559	0.0	1.0	0.0	0.6438546921975304	1.0	0.0	0.0	0.35614530780246945	0.6438546921975304	0.0	0.0	0.0	-0.35614530780246945	0.38566069435631006	0.0	0.5	0.0	1.0	0.0	0.6438546921975304	1.0	0.0	0.0	0.35614530780246945	0.6438546921975304	0.0	0.0	0.0	-0.35614530780246945	0.38566069435631006	0.0	0.5
batch	27	0.02256149984896183	0.02256149798631668	0.0	1.0	0.0	0.6214957968983161	1.0	0.0	0.0	0.3785042031016837	0.6214957968983161	0.0	0.0	0.0	-0.37850420310168376	0.3638683039648233	0.0	0.5	0.0	1.0	0.0	0.6214957968983161	1.0	0.0	0.0	0.3785042031016837	0.6214957968983161	0.0	0.0	0.0	-0.37850420310168376	0.3638683039648233	0.0	0.5
batch	28	0.026429709047079086	0.026429707184433937	0.0	1.0	0.0	0.6113541246981834	1.0	0.0	0.0	0.38864587530181666	0.6113541246981834	0.0	0.0	0.0	-0.38864587530181666	0.34439268710286397	0.0	0.5	0.0	1.0	0.0	0.6113541246981834	1.0	0.0	0.0	0.38864587530181666	0.6113541246981834	0.0	0.0	0.0	-0.38864587530181666	0.34439268710286397	0.0	0.5
batch	29	0.01983937993645668	0.01983937807381153	0.0	1.0	0.0	0.6403729252713223	1.0	0.0	0.0	0.3596270747286779	0.6403729252713223	0.0	0.0	0.0	-0.3596270747286779	0.38911205281755473	0.0	0.5	0.0	1.0	0.0	0.6403729252713223	1.0	0.0	0.0	0.3596270747286779	0.6403729252713223	0.0	0.0	0.0	-0.3596270747286779	0.38911205281755473	0.0	0.5
batch	30	0.023401986807584763	0.023401984944939613	0.0	1.0	0.0	0.6192011339536908	1.0	0.0	0.0	0.380798866046309	0.6192011339536908	0.0	0.0	0.0	-0.3807988660463091	0.3188675442441288	0.0	0.5	0.0	1.0	0.0	0.6192011339536908	1.0	0.0	0.0	0.380798866046309	0.6192011339536908	0.0	0.0	0.0	-0.3807988660463091	0.3188675442441288	0.0	0.5
batch	31	0.0313049778342247	0.0313049741089344	0.0	1.0	0.0	0.6046882064010114	1.0	0.0	0.0	0.3953117935989887	0.6046882064010114	0.0	0.0	0.0	-0.3953117935989887	0.2991986581261468	0.0	0.5	0.0	1.0	0.0	0.6046882064010114	1.0	0.0	0.0	0.3953117935989887	0.6046882064010114	0.0	0.0	0.0	-0.3953117935989887	0.2991986581261468	0.0	0.5
batch	test	0.030809462070465088	0.03080946020781994	0.0	1.0	0.0	0.6258297118211672	1.0	0.0	0.0	0.3741702881788327	0.6258297118211672	0.0	0.0	0.0	-0.3741702881788327	0.3478006580890287	0.0	0.5	0.0	1.0	0.0	0.6258297118211672	1.0	0.0	0.0	0.3741702881788327	0.6258297118211672	0.0	0.0	0.0	-0.3741702881788327	0.3478006580890287	0.0	0.5
batch	test	0.04119454696774483	0.04119454324245453	0.0	1.0	0.0	0.6265545656756036	1.0	0.0	0.0	0.37344543432439636	0.6265545656756036	0.0	0.0	0.0	-0.3734454343243963	0.29544666299138306	0.0	0.5	0.0	1.0	0.0	0.6265545656756036	1.0	0.0	0.0	0.37344543432439636	0.6265545656756036	0.0	0.0	0.0	-0.3734454343243963	0.29544666299138306	0.0	0.5
batch	test	0.04057705029845238	0.04057704657316208	0.0	1.0	0.0	0.6353812748051849	1.0	0.0	0.0	0.364618725194815	0.6353812748051849	0.0	0.0	0.0	-0.364618725194815	0.2663854381914552	0.0	0.5	0.0	1.0	0.0	0.6353812748051849	1.0	0.0	0.0	0.364618725194815	0.6353812748051849	0.0	0.0	0.0	-0.364618725194815	0.2663854381914552	0.0	0.5
batch	test	0.030877551063895226	0.030877549201250076	0.0	1.0	0.0	0.6342222980225293	1.0	0.0	0.0	0.3657777019774707	0.6342222980225293	0.0	0.0	0.0	-0.3657777019774707	0.3404511766110692	0.0	0.5	0.0	1.0	0.0	0.6342222980225293	1.0	0.0	0.0	0.3657777019774707	0.6342222980225293	0.0	0.0	0.0	-0.3657777019774707	0.3404511766110692	0.0	0.5
batch	test	0.06089888885617256	0.06089888513088226	0.0	1.0	0.0	0.6087073604654608	1.0	0.0	0.0	0.3912926395345392	0.6087073604654608	0.0	0.0	0.0	-0.3912926395345391	0.25226565042034665	0.0	0.5	0.0	1.0	0.0	0.6087073604654608	1.0	0.0	0.0	0.3912926395345392	0.6087073604654608	0.0	0.0	0.0	-0.3912926395345391	0.25226565042034665	0.0	0.5
batch	test	0.04614105448126793	0.04614105075597763	0.0	1.0	0.0	0.630393997375955	1.0	0.0	0.0	0.3696060026240446	0.630393997375955	0.0	0.0	0.0	-0.3696060026240446	0.293775147852681	0.0	0.5	0.0	1.0	0.0	0.630393997375955	1.0	0.0	0.0	0.3696060026240446	0.630393997375955	0.0	0.0	0.0	-0.3696060026240446	0.293775147852681	0.0	0.5
batch	test	0.045831743627786636	0.04583173990249634	0.0	1.0	0.0	0.6190536686383119	1.0	0.0	0.0	0.38094633136168804	0.6190536686383119	0.0	0.0	0.0	-0.38094633136168804	0.294692195108471	0.0	0.5	0.0	1.0	0.0	0.6190536686383119	1.0	0.0	0.0	0.38094633136168804	0.6190536686383119	0.0	0.0	0.0	-0.38094633136168804	0.294692195108471	0.0	0.5
