Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	betweenness_cost	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1	MCC	BM	MK	P@10min	P@10max	AUC	betweenness_TPR	betweenness_TNR	betweenness_PPV	betweenness_NPV	betweenness_FNR	betweenness_FPR	betweenness_FDR	betweenness_FOR	betweenness_ACC	betweenness_F1	betweenness_MCC	betweenness_BM	betweenness_MK	betweenness_P@10min	betweenness_P@10max	betweenness_AUC
batch	10	0.6920868754386902	0.6920868158340454	0.7270444278011875	0.2996339379065255	0.36493900434353665	0.5295391303741335	0.2729555721988125	0.7003660620934744	0.5100609956564633	0.37671086962586664	0.47708405188651914	0.4798024140469669	0.02353169475002875	0.02667836570771301	-0.10552186528232994	0.11406908155608311	0.061185515873015864	0.5090184165355893	0.7270444278011875	0.2996339379065255	0.36493900434353665	0.5295391303741335	0.2729555721988125	0.7003660620934744	0.5100609956564633	0.37671086962586664	0.47708405188651914	0.4798024140469669	0.02353169475002875	0.02667836570771301	-0.10552186528232994	0.11406908155608311	0.061185515873015864	0.5090184165355893
batch	11	0.6921548247337341	0.6921547651290894	0.6720515604076605	0.3327806847702218	0.3480472504502088	0.5405136185267272	0.3279484395923395	0.6672193152297782	0.4332027495497912	0.4282363814732727	0.4778500411126684	0.4560338354909316	-0.0028131923883170443	0.004832245177882246	-0.111439131023064	0.14885061662053495	0.08612351190476189	0.46364480329829755	0.6720515604076605	0.3327806847702218	0.3480472504502088	0.5405136185267272	0.3279484395923395	0.6672193152297782	0.4332027495497912	0.4282363814732727	0.4778500411126684	0.4560338354909316	-0.0028131923883170443	0.004832245177882246	-0.111439131023064	0.14885061662053495	0.08612351190476189	0.46364480329829755
batch	12	0.6913652420043945	0.6913651823997498	0.5893931993994387	0.4519533411277615	0.30566478960050647	0.6161370089436286	0.4106068006005615	0.5480466588722385	0.35058521039949353	0.38386299105637134	0.5022390950626185	0.40094573940534345	0.047948425482943084	0.04134654052719992	-0.07819820145586491	0.15792043959287094	0.0515625	0.44199194315839613	0.5893931993994387	0.4519533411277615	0.30566478960050647	0.6161370089436286	0.4106068006005615	0.5480466588722385	0.35058521039949353	0.38386299105637134	0.5022390950626185	0.40094573940534345	0.047948425482943084	0.04134654052719992	-0.07819820145586491	0.15792043959287094	0.0515625	0.44199194315839613
batch	13	0.6910141110420227	0.6910140514373779	0.5940143798013576	0.446700471587284	0.35195152826442927	0.5928401345470972	0.4059856201986425	0.553299528412716	0.3980484717355707	0.40715986545290284	0.5033437560639056	0.43033111607234603	0.045364404963093914	0.040714851388641574	-0.055208337188473525	0.19921844869335406	0.1281498015873016	0.4861420033304446	0.5940143798013576	0.446700471587284	0.35195152826442927	0.5928401345470972	0.4059856201986425	0.553299528412716	0.3980484717355707	0.40715986545290284	0.5033437560639056	0.43033111607234603	0.045364404963093914	0.040714851388641574	-0.055208337188473525	0.19921844869335406	0.1281498015873016	0.4861420033304446
batch	14	0.6875761151313782	0.6875760555267334	0.6386951345991728	0.5354836646450141	0.3780100891848463	0.7329274194318147	0.36130486540082724	0.4645163353549858	0.3719899108151537	0.2670725805681852	0.5620453675293118	0.4497938117958417	0.19000571338684188	0.1741787992441871	0.11093750861666103	0.21227906102211416	0.10416666666666667	0.5828200152969507	0.6386951345991728	0.5354836646450141	0.3780100891848463	0.7329274194318147	0.36130486540082724	0.4645163353549858	0.3719899108151537	0.2670725805681852	0.5620453675293118	0.4497938117958417	0.19000571338684188	0.1741787992441871	0.11093750861666103	0.21227906102211416	0.10416666666666667	0.5828200152969507
batch	15	0.6868942975997925	0.6868942379951477	0.6655589525729766	0.5262142281513303	0.3824799199985163	0.7348694901328973	0.3344410474270236	0.47378577184866966	0.3675200800014836	0.2651305098671027	0.5718933782265118	0.48327309947856334	0.2075822812209596	0.19177318072430682	0.11734941013141367	0.1244827454258176	0.034375	0.6016515390035715	0.6655589525729766	0.5262142281513303	0.3824799199985163	0.7348694901328973	0.3344410474270236	0.47378577184866966	0.3675200800014836	0.2651305098671027	0.5718933782265118	0.48327309947856334	0.2075822812209596	0.19177318072430682	0.11734941013141367	0.1244827454258176	0.034375	0.6016515390035715
batch	16	0.6888299584388733	0.6888298988342285	0.6978126164094279	0.4989977506815928	0.4632458925103896	0.7350323944256725	0.3021873835905721	0.5010022493184072	0.3805041074896103	0.26496760557432747	0.5868798813595802	0.5401241258702266	0.2256330676232018	0.19681036709102068	0.19827828693606217	0.22397910149569342	0.1545262896825397	0.5966216340847991	0.6978126164094279	0.4989977506815928	0.4632458925103896	0.7350323944256725	0.3021873835905721	0.5010022493184072	0.3805041074896103	0.26496760557432747	0.5868798813595802	0.5401241258702266	0.2256330676232018	0.19681036709102068	0.19827828693606217	0.22397910149569342	0.1545262896825397	0.5966216340847991
batch	17	0.6862444281578064	0.6862443685531616	0.6169876134940423	0.6455918833248245	0.4393759198639434	0.7288787688153233	0.38301238650595776	0.35440811667517563	0.31062408013605664	0.2711212311846766	0.6206124824602729	0.4994232881245586	0.27383741999118544	0.2625794968188666	0.16825468867926668	0.1899622429726725	0.090625	0.6314905722056307	0.6169876134940423	0.6455918833248245	0.4393759198639434	0.7288787688153233	0.38301238650595776	0.35440811667517563	0.31062408013605664	0.2711212311846766	0.6206124824602729	0.4994232881245586	0.27383741999118544	0.2625794968188666	0.16825468867926668	0.1899622429726725	0.090625	0.6314905722056307
batch	18	0.6856380105018616	0.6856379508972168	0.6878708366322153	0.6429235287315926	0.5050065785489581	0.7560696906422544	0.3121291633677845	0.35707647126840736	0.30749342145104175	0.24393030935774576	0.6579525780380118	0.5789992231026281	0.34013163595898377	0.3307943653638081	0.2610762691912124	0.2460782026755541	0.05654761904761905	0.6726183138827504	0.6878708366322153	0.6429235287315926	0.5050065785489581	0.7560696906422544	0.3121291633677845	0.35707647126840736	0.30749342145104175	0.24393030935774576	0.6579525780380118	0.5789992231026281	0.34013163595898377	0.3307943653638081	0.2610762691912124	0.2460782026755541	0.05654761904761905	0.6726183138827504
batch	19	0.6878189444541931	0.6878188848495483	0.4639281035910189	0.7570541872742431	0.35230257959670536	0.6803846999201513	0.5360718964089811	0.24294581272575708	0.21019742040329464	0.3196153000798485	0.6084529769870737	0.384947134988979	0.2307483175595368	0.22098229086526178	0.032687279516856745	0.19816690592833178	0.1079861111111111	0.5841739037293859	0.4639281035910189	0.7570541872742431	0.35230257959670536	0.6803846999201513	0.5360718964089811	0.24294581272575708	0.21019742040329464	0.3196153000798485	0.6084529769870737	0.384947134988979	0.2307483175595368	0.22098229086526178	0.032687279516856745	0.19816690592833178	0.1079861111111111	0.5841739037293859
